# Voltage,Time
3.283076923076923226e+00,3.844999999999927469e-03
3.283882783882783762e+00,3.849999999999927265e-03
3.283882783882783762e+00,3.854999999999927061e-03
3.283882783882783762e+00,3.859999999999926858e-03
3.283882783882783762e+00,3.864999999999926654e-03
3.283882783882783762e+00,3.869999999999926450e-03
3.283076923076923226e+00,3.874999999999926246e-03
3.283076923076923226e+00,3.879999999999926043e-03
3.283882783882783762e+00,3.884999999999925839e-03
3.283076923076923226e+00,3.889999999999925635e-03
3.283882783882783762e+00,3.894999999999925432e-03
3.283076923076923226e+00,3.899999999999925228e-03
3.282271062271062245e+00,3.904999999999925024e-03
3.283076923076923226e+00,3.909999999999924820e-03
3.283882783882783762e+00,3.914999999999924617e-03
3.283076923076923226e+00,3.919999999999924413e-03
3.283076923076923226e+00,3.924999999999924209e-03
3.283882783882783762e+00,3.929999999999924006e-03
3.283076923076923226e+00,3.934999999999923802e-03
3.283882783882783762e+00,3.939999999999923598e-03
3.283076923076923226e+00,3.944999999999923394e-03
3.283076923076923226e+00,3.949999999999923191e-03
3.283882783882783762e+00,3.954999999999922987e-03
3.283882783882783762e+00,3.959999999999922783e-03
3.283076923076923226e+00,3.964999999999922579e-03
3.283882783882783762e+00,3.969999999999922376e-03
3.283882783882783762e+00,3.974999999999922172e-03
3.284688644688644743e+00,3.979999999999921968e-03
3.283076923076923226e+00,3.984999999999921765e-03
3.282271062271062245e+00,3.989999999999921561e-03
3.283882783882783762e+00,3.994999999999921357e-03
3.283076923076923226e+00,3.999999999999921153e-03
3.283882783882783762e+00,4.004999999999920950e-03
3.283882783882783762e+00,4.009999999999920746e-03
3.283882783882783762e+00,4.014999999999920542e-03
3.283882783882783762e+00,4.019999999999920338e-03
3.283882783882783762e+00,4.024999999999920135e-03
3.283882783882783762e+00,4.029999999999919931e-03
3.283076923076923226e+00,4.034999999999919727e-03
3.283882783882783762e+00,4.039999999999919524e-03
3.283882783882783762e+00,4.044999999999919320e-03
3.282271062271062245e+00,4.049999999999919116e-03
3.283882783882783762e+00,4.054999999999918912e-03
3.283882783882783762e+00,4.059999999999918709e-03
3.283076923076923226e+00,4.064999999999918505e-03
3.283076923076923226e+00,4.069999999999918301e-03
3.283882783882783762e+00,4.074999999999918097e-03
3.283882783882783762e+00,4.079999999999917894e-03
3.283882783882783762e+00,4.084999999999917690e-03
3.283882783882783762e+00,4.089999999999917486e-03
3.283882783882783762e+00,4.094999999999917283e-03
3.283076923076923226e+00,4.099999999999917079e-03
3.283882783882783762e+00,4.104999999999916875e-03
3.283882783882783762e+00,4.109999999999916671e-03
3.283882783882783762e+00,4.114999999999916468e-03
3.283882783882783762e+00,4.119999999999916264e-03
3.283882783882783762e+00,4.124999999999916060e-03
3.283882783882783762e+00,4.129999999999915856e-03
3.283882783882783762e+00,4.134999999999915653e-03
3.283882783882783762e+00,4.139999999999915449e-03
3.283882783882783762e+00,4.144999999999915245e-03
3.283882783882783762e+00,4.149999999999915042e-03
3.283882783882783762e+00,4.154999999999914838e-03
3.283882783882783762e+00,4.159999999999914634e-03
3.283882783882783762e+00,4.164999999999914430e-03
3.283882783882783762e+00,4.169999999999914227e-03
3.283882783882783762e+00,4.174999999999914023e-03
3.283882783882783762e+00,4.179999999999913819e-03
3.283076923076923226e+00,4.184999999999913615e-03
3.283882783882783762e+00,4.189999999999913412e-03
3.283076923076923226e+00,4.194999999999913208e-03
3.283076923076923226e+00,4.199999999999913004e-03
3.283882783882783762e+00,4.204999999999912801e-03
3.283882783882783762e+00,4.209999999999912597e-03
3.283882783882783762e+00,4.214999999999912393e-03
3.283076923076923226e+00,4.219999999999912189e-03
3.283882783882783762e+00,4.224999999999911986e-03
3.283882783882783762e+00,4.229999999999911782e-03
3.283076923076923226e+00,4.234999999999911578e-03
3.283882783882783762e+00,4.239999999999911375e-03
3.284688644688644743e+00,4.244999999999911171e-03
3.283882783882783762e+00,4.249999999999910967e-03
3.283882783882783762e+00,4.254999999999910763e-03
3.283882783882783762e+00,4.259999999999910560e-03
3.283882783882783762e+00,4.264999999999910356e-03
3.283076923076923226e+00,4.269999999999910152e-03
3.283882783882783762e+00,4.274999999999909948e-03
3.283882783882783762e+00,4.279999999999909745e-03
3.283882783882783762e+00,4.284999999999909541e-03
3.283882783882783762e+00,4.289999999999909337e-03
3.283882783882783762e+00,4.294999999999909134e-03
3.283882783882783762e+00,4.299999999999908930e-03
3.283882783882783762e+00,4.304999999999908726e-03
3.283882783882783762e+00,4.309999999999908522e-03
3.283882783882783762e+00,4.314999999999908319e-03
3.283882783882783762e+00,4.319999999999908115e-03
3.283882783882783762e+00,4.324999999999907911e-03
3.283076923076923226e+00,4.329999999999907707e-03
3.283882783882783762e+00,4.334999999999907504e-03
3.283882783882783762e+00,4.339999999999907300e-03
3.283882783882783762e+00,4.344999999999907096e-03
3.283882783882783762e+00,4.349999999999906893e-03
3.283882783882783762e+00,4.354999999999906689e-03
3.283882783882783762e+00,4.359999999999906485e-03
3.283882783882783762e+00,4.364999999999906281e-03
3.283882783882783762e+00,4.369999999999906078e-03
3.283882783882783762e+00,4.374999999999905874e-03
3.284688644688644743e+00,4.379999999999905670e-03
3.283882783882783762e+00,4.384999999999905466e-03
3.283882783882783762e+00,4.389999999999905263e-03
